timestamp,thumb,index,middle,ring,pinky
890,1.0,1.0,1.0,1.0,1.0
5895,0.0,0.0,1.0,0.0,0.0
10900,1.0,1.0,0.0,0.0,0.0
15905,1.0,0.0,1.0,0.0,0.0
20910,1.0,0.0,1.0,1.0,1.0
25916,1.0,0.0,0.0,1.0,1.0
30921,0.0,1.0,0.0,1.0,1.0
35926,1.0,0.0,0.0,0.0,0.0
40931,1.0,0.0,1.0,1.0,1.0
45936,1.0,1.0,1.0,1.0,1.0
50940,1.0,1.0,1.0,0.0,0.0
55944,0.0,1.0,0.0,0.0,0.0
60947,0.0,1.0,1.0,1.0,1.0
65951,1.0,0.0,1.0,0.0,0.0
70955,1.0,1.0,0.0,1.0,1.0
75960,0.0,1.0,1.0,0.0,0.0
80964,0.0,0.0,1.0,1.0,1.0
85968,1.0,1.0,0.0,0.0,0.0
90972,0.0,0.0,1.0,0.0,0.0
95975,0.0,0.0,0.0,0.0,0.0
100978,0.0,0.0,0.0,1.0,1.0
105982,1.0,1.0,0.0,1.0,1.0
110985,0.0,0.0,0.0,1.0,1.0
115987,1.0,0.0,0.0,0.0,0.0
120990,1.0,1.0,1.0,1.0,1.0
125993,0.0,0.0,1.0,0.0,0.0
130996,1.0,0.0,1.0,1.0,1.0
136000,1.0,1.0,0.0,0.0,0.0
141003,0.0,1.0,1.0,0.0,0.0
146007,1.0,0.0,1.0,0.0,0.0
151011,1.0,0.0,0.0,1.0,1.0
156015,0.0,1.0,0.0,0.0,0.0
161020,0.0,0.0,0.0,0.0,0.0
166024,0.0,1.0,0.0,1.0,1.0
171028,0.0,0.0,1.0,1.0,1.0
176032,1.0,1.0,1.0,0.0,0.0
181035,0.0,1.0,1.0,1.0,1.0
186039,1.0,0.0,0.0,1.0,1.0
191042,1.0,1.0,1.0,1.0,1.0
196044,1.0,0.0,1.0,1.0,1.0
201047,0.0,1.0,0.0,0.0,0.0
206050,1.0,1.0,0.0,1.0,1.0
211054,1.0,1.0,1.0,0.0,0.0
216056,0.0,0.0,0.0,1.0,1.0
221060,1.0,1.0,0.0,0.0,0.0
226063,0.0,1.0,1.0,1.0,1.0
231066,0.0,0.0,1.0,1.0,1.0
236069,1.0,0.0,1.0,0.0,0.0
241073,0.0,0.0,1.0,0.0,0.0
246076,0.0,1.0,1.0,0.0,0.0
251080,0.0,0.0,0.0,0.0,0.0
256084,0.0,1.0,0.0,1.0,1.0
261088,1.0,0.0,0.0,0.0,0.0
266092,1.0,1.0,0.0,0.0,0.0
271096,1.0,0.0,1.0,1.0,1.0
276100,1.0,0.0,0.0,1.0,1.0
281104,1.0,1.0,1.0,0.0,0.0
286108,0.0,1.0,1.0,1.0,1.0
291112,1.0,1.0,0.0,1.0,1.0
296116,1.0,0.0,1.0,0.0,0.0
301119,0.0,0.0,0.0,0.0,0.0
306123,0.0,0.0,1.0,1.0,1.0
311127,0.0,0.0,1.0,0.0,0.0
316131,1.0,0.0,0.0,0.0,0.0
321134,0.0,1.0,1.0,0.0,0.0
326138,0.0,0.0,0.0,1.0,1.0
331142,0.0,1.0,0.0,1.0,1.0
336146,0.0,1.0,0.0,0.0,0.0
341149,1.0,1.0,1.0,1.0,1.0
346153,0.0,1.0,0.0,1.0,1.0
351157,1.0,0.0,1.0,1.0,1.0
356161,0.0,0.0,1.0,1.0,1.0
361165,1.0,0.0,0.0,0.0,0.0
366169,1.0,1.0,0.0,1.0,1.0
371173,0.0,1.0,1.0,0.0,0.0
376177,0.0,1.0,1.0,1.0,1.0
381181,1.0,1.0,1.0,1.0,1.0
386185,1.0,1.0,1.0,0.0,0.0
391189,0.0,0.0,0.0,0.0,0.0
396192,1.0,0.0,0.0,1.0,1.0
401196,0.0,0.0,1.0,0.0,0.0
406200,1.0,0.0,1.0,0.0,0.0
411205,0.0,0.0,0.0,1.0,1.0
416208,0.0,1.0,0.0,0.0,0.0
421212,1.0,1.0,0.0,0.0,0.0
426216,1.0,1.0,1.0,1.0,1.0
431219,1.0,0.0,0.0,0.0,0.0
436223,1.0,1.0,0.0,1.0,1.0
441227,1.0,1.0,0.0,0.0,0.0
446230,0.0,1.0,1.0,1.0,1.0
451234,1.0,0.0,1.0,1.0,1.0
456238,0.0,0.0,0.0,1.0,1.0
461242,0.0,1.0,1.0,0.0,0.0
466246,1.0,0.0,1.0,0.0,0.0
471249,1.0,0.0,0.0,1.0,1.0
476253,0.0,0.0,1.0,1.0,1.0
481257,0.0,1.0,0.0,0.0,0.0
486261,0.0,0.0,0.0,0.0,0.0
