timestamp,thumb,index,middle,ring,pinky
2402,0.0,1.0,1.0,0.0,0.0
7403,0.0,1.0,1.0,1.0,1.0
12405,0.0,0.0,0.0,1.0,1.0
17408,0.0,0.0,1.0,1.0,1.0
22410,1.0,1.0,1.0,1.0,1.0
27414,1.0,0.0,0.0,1.0,1.0
32418,1.0,1.0,1.0,0.0,0.0
37421,1.0,0.0,1.0,0.0,0.0
42425,1.0,1.0,0.0,0.0,0.0
47429,1.0,1.0,0.0,1.0,1.0
52432,1.0,1.0,1.0,0.0,0.0
57437,0.0,1.0,1.0,1.0,1.0
62441,1.0,1.0,1.0,1.0,1.0
67445,1.0,0.0,0.0,0.0,0.0
72449,0.0,1.0,1.0,0.0,0.0
77454,0.0,1.0,0.0,0.0,0.0
82459,0.0,0.0,0.0,1.0,1.0
87462,0.0,0.0,1.0,1.0,1.0
92467,1.0,0.0,1.0,1.0,1.0
97470,0.0,1.0,0.0,1.0,1.0
102474,0.0,0.0,1.0,0.0,0.0
107478,1.0,0.0,0.0,1.0,1.0
112483,1.0,0.0,1.0,0.0,0.0
117487,1.0,1.0,0.0,0.0,0.0
122492,0.0,0.0,0.0,0.0,0.0
